Numero parcometro,Nome parcometro,Latitudine,Longitudine
501,Via Ugoni fronte civ. 18,45.53935637189561,10.21035261186372
503,Via Ugoni fronte civ. 28,45.53793782115141,10.210005275365441
507,V.le Piave,45.53052350460505,10.244636026397899
509,V.le Piave,45.530393939526355,10.246110620264103
513,P.le Repubblica,fr. Camera del Lav.,45.53474676894332,10.210658020812522
525,Via X X Settembre civ. 4 / 4b,45.534485751611214,10.21314973232794
538,Via dei Mille civ. 20d,45.53645834828056,10.210861373935863
540,Via F.lli Bronzetti fronte civ. 14,45.53754586789852,10.210578858351118
109,109-Via S. Pellico,45.54496865587741,10.218918203988876
116,116-Via Tartaglia fr civ 22,45.54403565360054,10.212316066047956
118,118-Via Tartaglia,45.54346341896892,10.211932206007571
147,147-Via delle Grazie lato Est,45.5431690666502,10.213893912593978
153,153-Via S.Caterina Sud,45.54349642520103,10.21475840792531
154,154-Via d. Grazie/Carmine,45.54349642520103,10.21475840792531
209,209-Via Pusterla,9,45.54526178957296,10.222439749210126
212,212-Via Marsala ovest,45.54120134916708,10.214579556408959
213,213-Via Bassi,45.554307,10.228842
218,218-Park Goito,45.534849738422665,10.23009058927794
221,221-Via A.Mario,38,45.53689513866007,10.23092434644393
223,223-Via Orientale,45.53723291868008,10.230622466129493
231,231-Via Tosio 1F,45.53699,10.2239
232,232-Via Tosio civ.13a,45.536840498156124,10.224618574780141
233,233-Via Ducco,2  ,45.536840498156124,10.224618574780141
240,240-Via Ducco 30,45.554043,10.230259
244,244-Via Galvani fr.16,45.55382,10.22811
245,245-Via P. dal Monte fr.20,45.5554,10.22914
264,264-Corso Cavour,45.53480616392542,10.22289339748318
268,268-Via Berlinguer,45.524403239483505,10.216346102596846
272,272-Corso Cavour,45.533509848246226,10.223117332431611
281,281-P.za T.Brusato lato nord,45.53861539945633,10.229376760603365
283,283-Park Goito,45.53544304370902,10.23057562744591
291,291-Fossa Castello,45.54141608552163,10.225422335510762
292,292-Fossa Castello,45.541692384160704,10.225164390155612
301,301-Largo Torrelunga civ. 7,45.535894791508326,10.23192908694816
309,309-Via Spalti S.Marco.17,45.532953483834746,10.224230868316498
310,310-Via Spalti S.Marco.5,45.53318390056527,10.223921946530497
314,314-Via Crispi,27,45.53408440725907,10.224954591380108
315,315-Via Calini 4,45.53520162983399,10.225576524448163
316,316-Via Calini fronte 10,45.53524687452745,10.225928294680946
318,318-Via Calini,26,45.53484610572005,10.228379116161804
320,320-Via Callegari,3e,45.53453740142123,10.229081621263884
321,321-Via Callegari,6,45.53431765705136,10.228781675078924
322,322-Via Callegari dx,45.53349631866404,10.228350944126765
326,326- Via XX Settembre civ 70,45.53288285966018,10.221265866873646
332,332-Piazzale Cremona.18,45.53231551596623,10.223173033680029
358,358-Via Lechi civ.13,45.53470657615285,10.233061318726755
362,362-Via XX settembre,41,45.53290111758079,10.222366334736106
366,366-P.le Cremona civ. 1,45.532545983291385,10.221870558198068
367,367-Viale Venezia,45.535841752577724,10.23379641708079
402,402-Via Gramsci civ. 39,45.53470635694526,10.218281213161074
441,441-Via Gambara civ 41,45.53187946189152,10.21641368572204
443,443-Via A.Moro,fr. 13,45.524439665431665,10.214005456415876
457,457-Via A.Moro,10,45.52481969662602,10.211784512372802
458,458-Via A.Moro,10,45.52493883458391,10.211876115865559
459,459-Via A.Moro 30,45.52456199553536,10.212965574322256
460,460-Via A.Moro,3,45.5247721107015,10.212748117071332
461,461-Via A.Moro,40,45.52399582842026,10.213954916481846
462,462-Via A. Moro nord,45.52432820902775,10.213827271638552
463,463-Via A. Moro,44,45.52367674005665,10.215177471641365
464,464-Via A. Moro 19,45.52390406993151,10.215079411068166
465,465-Via A.Moro ,48,45.523352647569865,10.216715337063828
466,466-Via A. Moro,45.52356307155947,10.216789623455572
467,467-Via A.Moro snc,45.52316313355468,10.217866152923486
468,468-Via A.Moro,35,45.52332080540063,10.217940162582803
470,470-Via E. Berlinguer,45.52440138428829,10.216101999061234
529,529-C.so M. Libertà.43,45.53568529863661,10.212912431992905
531,531-C.so Matteotti,41,45.536010330773074,10.212373164127154
533,533-C.so Matteotti fr.25,45.53769798373737,10.213066128868094
535,535-C.so Matteotti fr.19b,45.53893100387146,10.213546740553264
544,544-C.so Martiri fr. 27,45.53649307641317,10.214086822734215
